;ward;turnout_98;inperson;phone;inperson_rand;phone_rand;age;maj_party;turnout_96
14210;15;1;0;0;1;0;54;0;1
6818;25;0;0;0;1;0;45;0;0
5039;4;0;0;0;1;0;72;1;1
20246;17;0;0;0;1;0;28;1;1
399;17;0;0;0;1;0;30;0;0
4152;26;0;0;0;1;0;30;1;0
20242;17;0;0;0;1;0;59;0;0
13269;15;0;0;0;1;0;27;1;0
21206;25;0;0;0;1;0;25;0;1
13117;4;1;0;0;1;0;82;1;1
2525;27;1;0;0;1;0;81;0;1
14308;5;0;0;0;1;0;21;0;0
4530;4;1;0;0;1;0;58;1;1
7049;17;0;0;0;1;0;36;0;1
10617;27;1;0;0;1;0;33;1;1
22970;18;1;0;0;1;0;27;1;1
9500;12;0;0;0;1;0;42;0;1
14324;5;1;0;0;1;0;26;1;1
7700;2;0;0;0;1;0;21;1;0
14093;12;1;0;0;1;1;50;1;1
85;25;1;0;0;1;0;74;0;1
13537;2;0;0;0;1;0;23;1;0
22881;17;0;0;0;1;0;36;0;0
19458;3;0;0;0;1;0;42;0;0
19556;3;1;0;0;1;0;63;1;0
768;20;1;0;0;1;1;34;1;1
12210;2;0;0;0;1;0;23;1;0
741;25;1;0;0;1;0;50;0;0
14115;12;0;0;0;1;0;56;1;1
333;4;0;0;0;1;0;43;1;0
10941;30;0;0;0;1;0;66;1;1
17329;27;0;0;0;1;1;44;0;0
21556;12;1;0;0;1;0;41;0;1
10783;22;1;1;0;1;0;36;1;0
21489;25;0;0;0;1;0;30;0;1
20419;17;0;0;0;1;0;28;0;0
11546;24;1;1;0;1;0;39;0;1
7273;25;1;0;0;1;0;28;1;0
20276;17;1;0;0;1;0;44;1;1
4356;27;0;0;0;1;0;46;1;0
11238;3;1;0;0;1;0;33;1;0
2030;17;1;0;0;1;0;49;1;0
20321;18;0;0;0;1;0;55;1;0
3056;17;1;0;0;1;0;71;1;1
18685;21;0;0;0;1;0;33;0;0
7609;2;0;0;0;1;0;31;1;0
2810;25;0;0;0;1;0;34;1;0
9208;15;0;0;0;1;0;42;0;1
2502;27;0;0;0;1;0;23;0;0
4700;21;0;0;0;1;1;32;1;0
2707;25;0;0;0;1;0;34;1;0
